pg_id,gamme,current_keyword_id,current_keyword,current_v_level,type_id,marque,modele,modele_id,modele_parent,type_name,type_fuel,relation,simulated_action,reason,source_type_id,source_v_level,source_keyword,risk
402,plaquette-de-frein,40573,plaquette de frein 308 i 1.6 16v,V5,23380,PEUGEOT,308 I,128040,0,1.6 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,29662,plaquette de frein 1.6 rs,V5,26652,RENAULT,TWINGO II,140098,0,1.6 RS,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40311,plaquette de frein twingo ii 1.2 tce,V5,9255,RENAULT,TWINGO II,140098,0,1.2 TCe,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40338,plaquette de frein xsara picasso 1.6,V5,11871,CITROËN,XSARA PICASSO,46086,0,1.6,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40339,plaquette de frein xsara picasso 1.8 16v,V5,11872,CITROËN,XSARA PICASSO,46086,0,1.8 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40433,plaquette de frein xsara picasso 2.0 16v,V5,17548,CITROËN,XSARA PICASSO,46086,0,2.0 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40295,plaquette de frein 208 i 1.6 hdi (phase 1),V5,8686,PEUGEOT,208 I,128021,0,1.6 HDI (Phase 1),Diesel,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40294,plaquette de frein 208 i 1.6 hdi,V5,8685,PEUGEOT,208 I,128021,0,1.6 HDI,Diesel,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,29409,plaquette de frein 1.6 hdi (phase 1),V5,8686,PEUGEOT,208 I,128021,0,1.6 HDI (Phase 1),Diesel,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40630,plaquette de frein kangoo be bop 1.6,V5,29948,RENAULT,KANGOO BE BOP,140020,0,1.6,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
